tool,target,url,api_status_code,target_status_code,response_ms,has_title,has_expected_content,title,content_type,success,error
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1581,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2317,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,3208,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2957,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2099,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1557,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1519,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1855,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1553,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1101,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1218,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,2130,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1818,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1684,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1465,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1378,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
browserbase,IKEA product page,https://www.ikea.com/us/en/p/kallax-shelf-unit-white-80275887/,200,200,1308,True,True,"KALLAX shelf unit, white, 301/8x575/8""  - IKEA",text/html; charset=UTF-8,True,
